Name of city,Population,Country
Tokyo,37036200,Japan
Delhi,34665600,India
Shanghai,30482100,China
Dhaka,24652900,Bangladesh
Cairo,23074200,Egypt
Sao Paulo,22990000,Brazil
Mexico City,22752400,Mexico
Beijing,22596500,China
Mumbai,22089000,India
Osaka,18921600,Japan
Chongqing,18171200,China
Istanbul,16236700,Turkey
Kolkata,15845200,India
Buenos Aires,15752300,Argentina
Manila,15230600,Philippines
Guangzhou,14878700,China
Lahore,14825800,Pakistan
Tianjin,14704100,China
Bangalore,14395400,India
Rio de Janeiro,13923200,Brazil
